2022;8;1;7;Telefonia;38;295,5;38,79;1219;229
2022;8;1;8;CALLBACK;2;176;1;193;2
2022;8;1;8;OMNI CHAT;4;2929,25;1,5;3862;3
2022;8;1;8;Telefonia;66;339,32;179,32;2385;962
2022;8;1;9;OMNI CHAT;1;2539;1;2539;1
2022;8;1;9;Telefonia;68;376,72;64,94;1777;272
2022;8;1;10;OMNI CHAT;11;1202,55;705,91;3822;1496
2022;8;1;10;Telefonia;98;331,44;92,83;2219;1120
2022;8;1;11;CALLBACK;1;412;0;412;0
2022;8;1;11;OMNI CHAT;6;1700,83;1596,17;3875;4082
2022;8;1;11;Telefonia;75;416,64;162,07;1918;365
2022;8;1;12;CALLBACK;4;545;0;762;0
2022;8;1;12;OMNI CHAT;4;2613;4181;7345;6748
2022;8;1;12;Telefonia;56;455,57;78;1751;472
2022;8;1;13;CALLBACK;2;435;0;642;0
2022;8;1;13;OMNI CHAT;10;1911;1159;8991;3934
2022;8;1;13;Telefonia;48;381,1;28,63;1301;261
2022;8;1;14;CALLBACK;1;254;0;254;0
2022;8;1;14;OMNI CHAT;11;788;257,45;1367;661
2022;8;1;14;Telefonia;51;418,9;39,98;1780;237
2022;8;1;15;OMNI CHAT;2;647,5;1;675;1
2022;8;1;15;Telefonia;42;295,1;108,74;1464;393
2022;8;1;16;CALLBACK;1;19;0;19;0
2022;8;1;16;Telefonia;32;326,91;152,81;1095;1289
2022;8;1;17;OMNI CHAT;6;831,5;2;2531;3
2022;8;1;17;Telefonia;12;401,5;0;883;0
2022;8;1;18;Telefonia;8;337,88;0;908;0
2022;8;2;7;OMNI CHAT;2;1743,5;2;2300;2
2022;8;2;7;Telefonia;34;293,71;30,71;892;154
2022;8;2;8;OMNI CHAT;5;1810,2;1,6;2971;2
2022;8;2;8;Telefonia;55;273,56;140,33;1623;394
2022;8;2;9;OMNI CHAT;7;694,43;137,29;2236;593
2022;8;2;9;Telefonia;83;339,83;240,72;1905;3022
2022;8;2;10;OMNI CHAT;9;1318,11;789;4915;3087
2022;8;2;10;Telefonia;86;341,44;119,79;1615;310
2022;8;2;11;OMNI CHAT;9;500,44;2026,67;2392;4294
2022;8;2;11;Telefonia;66;408,2;72,33;1848;231
2022;8;2;12;OMNI CHAT;10;2216,9;1800;5144;2705
2022;8;2;12;Telefonia;66;423,89;110,11;1625;547
2022;8;2;13;OMNI CHAT;7;669;7,43;1013;40
2022;8;2;13;Telefonia;53;408,92;30,19;1195;145
2022;8;2;14;OMNI CHAT;2;1253;2,5;1607;3
2022;8;2;14;Telefonia;57;460,32;60;2016;509
